#"+EI Scan (rt: 1.987-2.046 min, 11 scans) MIX8-5.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,525.564392089844
1,42.0,1975.49938964844
2,43.0,1242.73889160156
3,44.0,175.302429199219
4,50.0,598.781982421875
5,51.0,1152.14770507813
6,52.0,264.543670654297
7,53.0,385.725280761719
8,54.0,255.627014160156
9,55.0,440.156097412109
10,56.0,7570.7080078125
11,57.0,1526.90600585938
12,58.1,73349.15625
13,59.1,2829.1416015625
14,62.0,183.456604003906
15,62.0,33.3739395141602
16,63.0,863.779296875
17,64.0,204.290679931641
18,65.0,680.065246582031
19,66.0,14.515341758728
20,72.9,16.590295791626
21,73.1,17.0231647491455
22,73.9,199.633438110352
23,74.9,53.6909027099609
24,75.0,133.052093505859
25,76.0,325.279418945313
26,77.0,2925.78930664063
27,78.0,869.876770019531
28,79.0,2121.88037109375
29,80.0,146.814895629883
30,84.0,46.6314659118652
31,86.0,69.1530685424805
32,87.0,33.3498115539551
33,89.0,1309.29724121094
34,90.0,1086.60925292969
35,91.0,1017.26287841797
36,92.0,59.2891464233398
37,101.0,15.5241689682007
38,102.0,298.317260742188
39,103.0,1732.14575195313
40,104.0,542.205017089844
41,105.0,1204.49291992188
42,106.0,186.532363891602
43,110.9,14.1913452148438
44,115.0,319.455596923828
45,116.0,47.0177116394043
46,117.0,197.967895507813
47,118.0,126.506156921387
48,119.0,464.4814453125
49,121.0,204.525497436523
50,121.9,30.652063369751
51,127.0,17.3109169006348
52,128.0,67.8917083740234
53,128.9,50.3922958374023
54,129.9,48.779598236084
55,131.0,131.518447875977
56,131.1,27.2368240356445
57,132.0,124.423683166504
58,133.0,2922.85327148438
59,134.0,396.034759521484
60,138.8,13.8963136672974
61,143.9,52.5537223815918
62,146.0,93.4161682128906
63,147.0,229.479476928711
64,148.0,433.185821533203
65,149.0,805.818664550781
66,149.9,40.5872039794922
67,158.0,14.3225889205933
68,160.0,283.476104736328
69,161.0,78.3787536621094
70,162.0,64.6479568481445
71,172.0,15.5905847549438
72,172.1,16.3344097137451
73,176.0,146.940689086914
74,190.9,51.558464050293
75,192.0,17.7157649993896
76,207.0,36.307861328125
77,208.0,13.1988830566406
78,208.9,94.030403137207
79,281.1,13.8380880355835
