#"+EI Scan (rt: 2.734-2.780 min, 9 scans) MIX3-10.D  Subtract "
#Point,X(Thompsons),Y(Counts)
0,41.0,257.892181396484
1,42.0,823.72607421875
2,43.0,417.851257324219
3,44.0,57.8603515625
4,50.0,197.840515136719
5,51.0,254.287384033203
6,52.0,17.6177635192871
7,53.0,252.315155029297
8,53.9,38.8521270751953
9,55.0,185.197509765625
10,56.0,1547.189453125
11,57.0,484.590209960938
12,58.1,25559.96875
13,59.0,1037.17236328125
14,60.9,80.2990112304688
15,62.0,533.816589355469
16,63.0,1320.18041992188
17,63.9,174.243545532227
18,65.0,1360.0615234375
19,65.9,55.6360321044922
20,72.9,19.4532032012939
21,73.9,88.3567657470703
22,75.0,55.8380584716797
23,75.9,16.9409847259521
24,77.0,90.5011596679688
25,78.9,21.7174758911133
26,79.1,18.5442695617676
27,88.9,17.044620513916
28,91.0,607.806640625
29,92.0,73.1291198730469
30,95.8,17.0845928192139
31,96.0,40.719295501709
32,118.9,204.127197265625
33,119.9,116.728134155273
34,121.0,1245.50708007813
35,121.9,196.105651855469
36,135.0,270.336547851563
37,146.9,17.8841209411621
38,149.0,1568.68420410156
39,149.9,206.982330322266
40,162.0,42.0154876708984
41,163.9,41.9357299804688
42,164.0,44.0305023193359
43,172.0,4.25100708007813
44,176.0,19.3201961517334
45,178.0,22.3796787261963
46,191.0,81.3884582519531
47,207.0,0.19091796875
48,207.8,20.0661144256592
49,208.0,11.043212890625
