cosine_similarity,area_ratio,std_ratio,correlation,label
0.9849235141087226,0.9456827139276431,0.9732459079849347,0.9831429606830018,1
0.9807822362061815,0.9609476721552265,0.9722003639702245,0.978551954997968,1
0.9750658849916157,0.9584632204145095,0.9798737536104392,0.9721679322917434,1
0.9866962480940982,0.9304968873384005,0.9750689433954984,0.9853087853551058,1
0.9796563284720702,0.9901277336275595,0.9997561326416218,0.9772452055451726,1
0.9808843998076819,0.9870973421974132,0.9911406937673334,0.9786284867024857,1
0.9893505026343034,0.9826075715551831,0.9971885488965632,0.9881448071958995,1
0.9821784038913081,0.9989776245556277,0.9935109595771793,0.9801085533779765,1
0.9819030802767253,0.9752361663084868,0.9926859392056728,0.9799491431065651,1
0.9793954496346629,0.9716242771601774,0.9978821833024434,0.9771298628908373,1
0.925054508177067,0.8406328993233924,0.937543716868404,0.9190558992059263,1
0.9524486728575322,0.8817896787428703,0.9523263486747352,0.9484624517977338,1
0.9604848016223854,0.9324291027482701,0.9530280591515361,0.9568293361798652,1
0.9716384755534294,0.9517634707287141,0.9903394461779692,0.9689024635852614,1
0.9631699663815584,0.9595258613448842,0.9887167767246449,0.9602891140355924,1
0.9556450093234008,0.9070264528867082,0.9843859544778801,0.9521744526058497,1
0.9210951680858221,0.8049424025155515,0.9290844118569692,0.9148370400588675,1
0.9684145978307331,0.9369455466700338,0.9897647424932564,0.965809704584905,1
0.932470762318885,0.8314941609062698,0.9341610264480621,0.9268158862758714,1
0.9631612410984227,0.8881339411662935,0.9439537852791303,0.9597149719326745,1
0.9879238984094046,0.9717324470974795,0.9903448665604818,0.9871215176110429,1
0.985805292828498,0.9405319935350221,0.9550852526176299,0.984888235464763,1
0.9882251821061901,0.9842474260530379,0.9955970355693263,0.9874418610625779,1
0.9721956204088891,0.981367096322707,0.9815426341892264,0.9703570908861547,1
0.9860848314761367,0.95109525318453,0.9829871281156554,0.9851969877634633,1
0.9884828368745318,0.9975386572603069,0.9891604431313553,0.9877037082006781,1
0.9801864495741452,0.9962400717870898,0.9804373720497246,0.9788601708336062,1
0.9859069267774576,0.9134831785924794,0.8986725733688975,0.9849942295111175,1
0.9751223080793907,0.9129887933048487,0.9058219757676014,0.9735124251106863,1
0.9754054425516882,0.9991946714381365,0.9882882150985893,0.9737758295424399,1
0.9940654087414503,0.96172423764391,0.9728848753573278,0.9936779994859736,1
0.9942952629137358,0.9476090670676885,0.9820395439713273,0.9939499329671628,1
0.9893946155510758,0.9964942699689966,0.9917575460248639,0.9886929699136331,1
0.9884150367803789,0.9732228486419319,0.9773366125929884,0.9876566841587031,1
0.9965946074936677,0.9842694780367529,0.9911483685078636,0.9963811558206684,1
0.991398102167683,0.9551992485227124,0.9643353636682866,0.9908231292588648,1
0.9866605945924672,0.9902313342347346,0.9960193738771435,0.9857789715348352,1
0.99143674059277,0.9410892951644858,0.972987379686399,0.9908831883085018,1
0.9876873488430731,0.9731849820896414,0.9959205555719209,0.9868823157134392,1
0.9861505175034586,0.9630122868421768,0.9687293680175708,0.9852459454856226,1
0.978264277696395,0.9588208646460904,0.9547413314892143,0.9770534596472887,1
0.9735602055701378,0.99569385534318,0.9825051990550783,0.9721170728341738,1
